Distance,RayParameter,TravelTime
170.6,4.434,1287.28
170.7,4.434,1287.73
170.8,4.434,1288.17
170.9,4.435,1288.61
171,4.435,1289.06
171.1,4.435,1289.50
171.2,4.436,1289.95
171.3,4.436,1290.39
171.4,4.436,1290.83
171.5,4.437,1291.28
171.6,4.437,1291.72
171.7,4.437,1292.16
171.8,4.437,1292.61
171.9,4.438,1293.05
172,4.438,1293.49
172.1,4.438,1293.94
172.2,4.439,1294.38
172.3,4.439,1294.83
172.4,4.439,1295.27
172.5,4.439,1295.71
172.6,4.440,1296.16
172.7,4.440,1296.60
172.8,4.440,1297.05
172.9,4.440,1297.49
173,4.440,1297.93
173.1,4.441,1298.38
173.2,4.441,1298.82
173.3,4.441,1299.27
173.4,4.441,1299.71
173.5,4.441,1300.15
173.6,4.442,1300.60
173.7,4.442,1301.04
173.8,4.442,1301.49
173.9,4.442,1301.93
174,4.442,1302.38
174.1,4.442,1302.82
174.2,4.443,1303.26
174.3,4.443,1303.71
174.4,4.443,1304.15
174.5,4.443,1304.60
174.6,4.443,1305.04
174.7,4.443,1305.49
174.8,4.443,1305.93
174.9,4.444,1306.37
175,4.444,1306.82
175.1,4.444,1307.26
175.2,4.444,1307.71
175.3,4.444,1308.15
175.4,4.444,1308.60
175.5,4.444,1309.04
175.6,4.444,1309.48
175.7,4.444,1309.93
175.8,4.445,1310.37
175.9,4.445,1310.82
176,4.445,1311.26
176.1,4.445,1311.71
176.2,4.445,1312.15
176.3,4.445,1312.60
176.4,4.445,1313.04
176.5,4.445,1313.49
176.6,4.445,1313.93
176.7,4.445,1314.37
176.8,4.445,1314.82
176.9,4.445,1315.26
177,4.445,1315.71
177.1,4.445,1316.15
177.2,4.445,1316.60
177.3,4.446,1317.04
177.4,4.446,1317.49
177.5,4.446,1317.93
177.6,4.446,1318.38
177.7,4.446,1318.82
177.8,4.446,1319.26
177.9,4.446,1319.71
178,4.446,1320.15
178.1,4.446,1320.60
178.2,4.446,1321.04
