Distance,RayParameter,TravelTime
39.5,3.170,580.00
39.6,3.175,580.32
39.7,3.181,580.64
39.8,3.186,580.96
39.9,3.192,581.28
40,3.197,581.60
40.1,3.202,581.92
40.2,3.208,582.24
40.3,3.213,582.56
40.4,3.218,582.88
40.5,3.224,583.20
40.6,3.229,583.52
40.7,3.234,583.85
40.8,3.240,584.17
40.9,3.245,584.49
41,3.250,584.82
41.1,3.255,585.14
41.2,3.261,585.47
41.3,3.266,585.80
41.4,3.271,586.12
41.5,3.276,586.45
41.6,3.281,586.78
41.7,3.286,587.11
41.8,3.292,587.44
41.9,3.297,587.77
42,3.302,588.10
42.1,3.307,588.43
42.2,3.312,588.76
42.3,3.317,589.09
42.4,3.322,589.42
42.5,3.327,589.75
42.6,3.332,590.09
42.7,3.337,590.42
42.8,3.342,590.75
42.9,3.347,591.09
43,3.352,591.42
43.1,3.357,591.76
43.2,3.362,592.09
43.3,3.367,592.43
43.4,3.372,592.77
43.5,3.377,593.10
43.6,3.381,593.44
43.7,3.386,593.78
43.8,3.391,594.12
43.9,3.396,594.46
44,3.401,594.80
44.1,3.406,595.14
44.2,3.410,595.48
44.3,3.415,595.82
44.4,3.420,596.16
44.5,3.425,596.51
44.6,3.429,596.85
44.7,3.434,597.19
44.8,3.439,597.53
44.9,3.444,597.88
45,3.448,598.22
45.1,3.453,598.57
45.2,3.458,598.91
45.3,3.462,599.26
45.4,3.467,599.61
45.5,3.471,599.95
45.6,3.476,600.30
45.7,3.481,600.65
45.8,3.485,601.00
45.9,3.490,601.35
46,3.494,601.69
46.1,3.499,602.04
46.2,3.503,602.39
46.3,3.508,602.74
46.4,3.512,603.10
46.5,3.517,603.45
46.6,3.521,603.80
46.7,3.526,604.15
46.8,3.530,604.50
46.9,3.534,604.86
47,3.539,605.21
47.1,3.543,605.57
47.2,3.548,605.92
47.3,3.552,606.27
47.4,3.556,606.63
47.5,3.561,606.99
47.6,3.565,607.34
47.7,3.569,607.70
47.8,3.573,608.06
47.9,3.578,608.41
48,3.582,608.77
48.1,3.586,609.13
48.2,3.590,609.49
48.3,3.595,609.85
48.4,3.599,610.21
48.5,3.603,610.57
48.6,3.607,610.93
48.7,3.611,611.29
48.8,3.616,611.65
48.9,3.620,612.01
49,3.624,612.37
49.1,3.628,612.74
49.2,3.632,613.10
49.3,3.636,613.46
49.4,3.640,613.83
49.5,3.644,614.19
49.6,3.648,614.56
49.7,3.652,614.92
49.8,3.656,615.29
49.9,3.660,615.65
50,3.664,616.02
50.1,3.668,616.39
50.2,3.672,616.75
50.3,3.676,617.12
50.4,3.680,617.49
50.5,3.684,617.86
50.6,3.688,618.22
50.7,3.692,618.59
50.8,3.696,618.96
50.9,3.700,619.33
51,3.703,619.70
51.1,3.707,620.07
51.2,3.711,620.44
51.3,3.715,620.82
51.4,3.719,621.19
51.5,3.723,621.56
51.6,3.726,621.93
51.7,3.730,622.30
51.8,3.734,622.68
51.9,3.738,623.05
52,3.741,623.43
52.1,3.745,623.80
52.2,3.749,624.17
52.3,3.752,624.55
52.4,3.756,624.92
52.5,3.760,625.30
52.6,3.763,625.68
52.7,3.767,626.05
52.8,3.771,626.43
52.9,3.774,626.81
53,3.778,627.19
53.1,3.782,627.56
53.2,3.785,627.94
53.3,3.789,628.32
53.4,3.792,628.70
53.5,3.796,629.08
53.6,3.799,629.46
53.7,3.803,629.84
53.8,3.806,630.22
53.9,3.810,630.60
54,3.813,630.98
54.1,3.817,631.36
54.2,3.820,631.74
54.3,3.824,632.13
54.4,3.827,632.51
54.5,3.831,632.89
54.6,3.834,633.28
54.7,3.837,633.66
54.8,3.841,634.04
54.9,3.844,634.43
55,3.847,634.81
55.1,3.851,635.20
55.2,3.854,635.58
55.3,3.857,635.97
55.4,3.861,636.35
55.5,3.864,636.74
55.6,3.867,637.13
55.7,3.871,637.51
55.8,3.874,637.90
55.9,3.877,638.29
56,3.880,638.68
56.1,3.884,639.06
56.2,3.887,639.45
56.3,3.890,639.84
56.4,3.893,640.23
56.5,3.896,640.62
56.6,3.899,641.01
56.7,3.903,641.40
56.8,3.906,641.79
56.9,3.909,642.18
57,3.912,642.57
57.1,3.915,642.96
57.2,3.918,643.35
57.3,3.921,643.75
57.4,3.924,644.14
57.5,3.927,644.53
57.6,3.930,644.92
57.7,3.933,645.32
57.8,3.936,645.71
57.9,3.939,646.10
58,3.942,646.50
58.1,3.945,646.89
58.2,3.948,647.29
58.3,3.951,647.68
58.4,3.954,648.08
58.5,3.957,648.47
58.6,3.960,648.87
58.7,3.963,649.27
58.8,3.966,649.66
58.9,3.969,650.06
59,3.972,650.46
59.1,3.975,650.85
59.2,3.978,651.25
59.3,3.980,651.65
59.4,3.983,652.05
59.5,3.986,652.45
59.6,3.989,652.84
59.7,3.992,653.24
59.8,3.994,653.64
59.9,3.997,654.04
60,4.000,654.44
60.1,4.003,654.84
60.2,4.006,655.24
60.3,4.008,655.64
60.4,4.011,656.04
60.5,4.014,656.45
60.6,4.016,656.85
60.7,4.019,657.25
60.8,4.022,657.65
60.9,4.024,658.05
61,4.027,658.46
61.1,4.030,658.86
61.2,4.032,659.26
61.3,4.035,659.67
61.4,4.038,660.07
61.5,4.040,660.47
61.6,4.043,660.88
61.7,4.045,661.28
61.8,4.048,661.69
61.9,4.051,662.09
62,4.053,662.50
62.1,4.056,662.90
62.2,4.058,663.31
62.3,4.061,663.71
62.4,4.063,664.12
62.5,4.066,664.53
62.6,4.068,664.93
62.7,4.071,665.34
62.8,4.073,665.75
62.9,4.076,666.15
63,4.078,666.56
63.1,4.080,666.97
63.2,4.083,667.38
63.3,4.085,667.79
63.4,4.088,668.19
63.5,4.090,668.60
63.6,4.093,669.01
63.7,4.095,669.42
63.8,4.097,669.83
63.9,4.100,670.24
64,4.102,670.65
64.1,4.104,671.06
64.2,4.107,671.47
64.3,4.109,671.88
64.4,4.111,672.29
64.5,4.114,672.71
64.6,4.116,673.12
64.7,4.118,673.53
64.8,4.120,673.94
64.9,4.123,674.35
65,4.125,674.77
65.1,4.127,675.18
65.2,4.129,675.59
65.3,4.131,676.00
65.4,4.134,676.42
65.5,4.136,676.83
65.6,4.138,677.24
65.7,4.140,677.66
65.8,4.142,678.07
65.9,4.145,678.49
66,4.147,678.90
66.1,4.149,679.32
66.2,4.151,679.73
66.3,4.153,680.15
66.4,4.155,680.56
66.5,4.157,680.98
66.6,4.159,681.39
66.7,4.161,681.81
66.8,4.163,682.23
66.9,4.166,682.64
67,4.168,683.06
67.1,4.170,683.48
67.2,4.172,683.89
67.3,4.174,684.31
67.4,4.176,684.73
67.5,4.178,685.14
67.6,4.180,685.56
67.7,4.182,685.98
67.8,4.184,686.40
67.9,4.186,686.82
68,4.188,687.24
68.1,4.189,687.65
68.2,4.191,688.07
68.3,4.193,688.49
68.4,4.195,688.91
68.5,4.197,689.33
68.6,4.199,689.75
68.7,4.201,690.17
68.8,4.203,690.59
68.9,4.205,691.01
69,4.206,691.43
69.1,4.208,691.85
69.2,4.210,692.27
69.3,4.212,692.70
69.4,4.214,693.12
69.5,4.216,693.54
69.6,4.217,693.96
69.7,4.219,694.38
69.8,4.221,694.80
69.9,4.223,695.23
70,4.225,695.65
70.1,4.226,696.07
70.2,4.228,696.49
70.3,4.230,696.92
70.4,4.232,697.34
70.5,4.233,697.76
70.6,4.235,698.19
70.7,4.237,698.61
70.8,4.238,699.03
70.9,4.240,699.46
71,4.242,699.88
71.1,4.243,700.31
71.2,4.245,700.73
71.3,4.247,701.16
71.4,4.248,701.58
71.5,4.250,702.00
71.6,4.252,702.43
71.7,4.253,702.86
71.8,4.255,703.28
71.9,4.256,703.71
72,4.258,704.13
72.1,4.260,704.56
72.2,4.261,704.98
72.3,4.263,705.41
72.4,4.264,705.84
72.5,4.266,706.26
72.6,4.267,706.69
72.7,4.269,707.12
72.8,4.271,707.54
72.9,4.272,707.97
73,4.274,708.40
73.1,4.275,708.83
73.2,4.277,709.25
73.3,4.278,709.68
73.4,4.280,710.11
73.5,4.281,710.54
73.6,4.282,710.96
73.7,4.284,711.39
73.8,4.285,711.82
73.9,4.287,712.25
74,4.288,712.68
74.1,4.290,713.11
74.2,4.291,713.54
74.3,4.292,713.97
74.4,4.294,714.40
74.5,4.295,714.82
74.6,4.297,715.25
74.7,4.298,715.68
