Distance,RayParameter,TravelTime
162.9,0.971,1204.10
163,0.966,1204.20
163.1,0.961,1204.30
163.2,0.955,1204.39
163.3,0.950,1204.49
163.4,0.944,1204.58
163.5,0.939,1204.68
163.6,0.933,1204.77
163.7,0.927,1204.86
163.8,0.922,1204.96
163.9,0.916,1205.05
164,0.911,1205.14
164.1,0.905,1205.23
164.2,0.900,1205.32
164.3,0.894,1205.41
164.4,0.888,1205.50
164.5,0.883,1205.59
164.6,0.877,1205.68
164.7,0.871,1205.76
164.8,0.866,1205.85
164.9,0.861,1205.94
165,0.856,1206.02
165.1,0.851,1206.11
165.2,0.845,1206.19
165.3,0.839,1206.28
165.4,0.834,1206.36
165.5,0.828,1206.44
165.6,0.823,1206.53
165.7,0.817,1206.61
165.8,0.811,1206.69
165.9,0.806,1206.77
166,0.800,1206.85
166.1,0.794,1206.93
166.2,0.788,1207.01
166.3,0.784,1207.09
166.4,0.778,1207.17
166.5,0.773,1207.24
166.6,0.767,1207.32
166.7,0.762,1207.40
166.8,0.756,1207.47
166.9,0.750,1207.55
167,0.745,1207.62
167.1,0.739,1207.70
167.2,0.733,1207.77
167.3,0.727,1207.84
167.4,0.722,1207.92
167.5,0.716,1207.99
167.6,0.710,1208.06
167.7,0.705,1208.13
167.8,0.700,1208.20
167.9,0.694,1208.27
168,0.689,1208.34
168.1,0.683,1208.41
168.2,0.677,1208.48
168.3,0.672,1208.54
168.4,0.666,1208.61
168.5,0.660,1208.68
168.6,0.654,1208.74
168.7,0.649,1208.81
168.8,0.643,1208.87
168.9,0.637,1208.94
169,0.631,1209.00
169.1,0.626,1209.06
169.2,0.621,1209.12
169.3,0.615,1209.19
169.4,0.610,1209.25
169.5,0.604,1209.31
169.6,0.598,1209.37
169.7,0.592,1209.43
169.8,0.587,1209.49
169.9,0.581,1209.55
170,0.575,1209.60
170.1,0.569,1209.66
170.2,0.563,1209.72
170.3,0.558,1209.77
170.4,0.552,1209.83
170.5,0.547,1209.88
170.6,0.541,1209.94
170.7,0.535,1209.99
170.8,0.530,1210.04
170.9,0.524,1210.10
171,0.518,1210.15
171.1,0.512,1210.20
171.2,0.507,1210.25
171.3,0.501,1210.30
171.4,0.495,1210.35
171.5,0.489,1210.40
171.6,0.483,1210.45
171.7,0.478,1210.50
171.8,0.472,1210.55
171.9,0.467,1210.59
172,0.461,1210.64
172.1,0.455,1210.68
172.2,0.450,1210.73
172.3,0.444,1210.77
172.4,0.438,1210.82
172.5,0.433,1210.86
172.6,0.427,1210.91
172.7,0.421,1210.95
172.8,0.415,1210.99
172.9,0.409,1211.03
173,0.403,1211.07
173.1,0.397,1211.11
173.2,0.392,1211.15
173.3,0.387,1211.19
173.4,0.381,1211.23
173.5,0.375,1211.27
173.6,0.369,1211.30
173.7,0.364,1211.34
173.8,0.358,1211.38
173.9,0.352,1211.41
174,0.346,1211.45
174.1,0.340,1211.48
174.2,0.335,1211.51
174.3,0.329,1211.55
174.4,0.323,1211.58
174.5,0.317,1211.61
174.6,0.312,1211.64
174.7,0.306,1211.67
174.8,0.300,1211.70
174.9,0.295,1211.73
